stock_id,stock_ticker,stock_name,list_date,market_type
108,000100,유한양행,1962-11-01,KOSPI
110,000120,CJ대한통운,1956-07-02,KOSPI
113,000150,두산,1973-06-29,KOSPI
126,000270,기아,1973-07-21,KOSPI
149,000660,SK하이닉스,1996-12-26,KOSPI
153,000720,현대건설,1984-12-22,KOSPI
159,000810,삼성화재,1975-06-30,KOSPI
163,000880,한화,1976-06-24,KOSPI
321,003490,대한항공,1966-03-18,KOSPI
338,003670,포스코퓨처엠,2019-05-29,KOSPI
353,004020,현대제철,1987-05-23,KOSPI
364,004170,신세계,1985-08-19,KOSPI
397,004800,효성,1973-06-30,KOSPI
411,004990,롯데지주,1974-02-16,KOSPI
427,005380,현대차,1974-06-28,KOSPI
435,005490,POSCO홀딩스,1988-06-10,KOSPI
448,005830,DB손해보험,1973-06-28,KOSPI
452,005930,삼성전자,1975-06-11,KOSPI
454,005940,NH투자증권,1975-09-30,KOSPI
467,006260,LS,1977-06-30,KOSPI
468,006280,녹십자,1989-08-01,KOSPI
